"","ns","Value","Name","n_clus","clustering","level"
"2171","7_28",0.998061322591547,"sc3_35-50",35,"sc3_35",50
"2172","7_28",0.822938320844705,"UMAP_KMEANS_35-50",29,"UMAP_KMEANS_35",50
"2173","7_28",0.731296303801981,"UMAP_KMEANS_40-50",33,"UMAP_KMEANS_40",50
"2174","7_28",0.901757808563782,"UMAP_KMEANS_45-50",40,"UMAP_KMEANS_45",50
"2175","7_28",0.803052950383134,"tSNE_KMEANS_35-50",29,"tSNE_KMEANS_35",50
"2176","7_28",0.88084019195768,"tSNE_KMEANS_40-50",36,"tSNE_KMEANS_40",50
"2177","7_28",0.891712142550816,"tSNE_KMEANS_45-50",34,"tSNE_KMEANS_45",50
"2178","7_28",0.998061322591547,"sc3_35-55",35,"sc3_35",55
"2179","7_28",0.833104724163573,"UMAP_KMEANS_35-55",28,"UMAP_KMEANS_35",55
"2180","7_28",0.731296303801981,"UMAP_KMEANS_40-55",33,"UMAP_KMEANS_40",55
"2181","7_28",0.901757808563782,"UMAP_KMEANS_45-55",40,"UMAP_KMEANS_45",55
"2182","7_28",0.803052950383134,"tSNE_KMEANS_35-55",29,"tSNE_KMEANS_35",55
"2183","7_28",0.902869450776354,"tSNE_KMEANS_40-55",33,"tSNE_KMEANS_40",55
"2184","7_28",0.891712142550816,"tSNE_KMEANS_45-55",34,"tSNE_KMEANS_45",55
"2185","7_28",0.998061322591547,"sc3_35-60",35,"sc3_35",60
"2186","7_28",0.833104724163573,"UMAP_KMEANS_35-60",28,"UMAP_KMEANS_35",60
"2187","7_28",0.731296303801981,"UMAP_KMEANS_40-60",33,"UMAP_KMEANS_40",60
"2188","7_28",0.912685811152673,"UMAP_KMEANS_45-60",39,"UMAP_KMEANS_45",60
"2189","7_28",0.812613791623795,"tSNE_KMEANS_35-60",27,"tSNE_KMEANS_35",60
"2190","7_28",0.910533783895314,"tSNE_KMEANS_40-60",32,"tSNE_KMEANS_40",60
"2191","7_28",0.891712142550816,"tSNE_KMEANS_45-60",34,"tSNE_KMEANS_45",60
"2192","7_28",0.998061322591547,"sc3_35-65",35,"sc3_35",65
"2193","7_28",0.833104724163573,"UMAP_KMEANS_35-65",28,"UMAP_KMEANS_35",65
"2194","7_28",0.737005761445505,"UMAP_KMEANS_40-65",32,"UMAP_KMEANS_40",65
"2195","7_28",0.912685811152673,"UMAP_KMEANS_45-65",39,"UMAP_KMEANS_45",65
"2196","7_28",0.812613791623795,"tSNE_KMEANS_35-65",27,"tSNE_KMEANS_35",65
"2197","7_28",0.91520330949417,"tSNE_KMEANS_40-65",31,"tSNE_KMEANS_40",65
"2198","7_28",0.90327522374732,"tSNE_KMEANS_45-65",32,"tSNE_KMEANS_45",65
"2199","7_28",0.998061322591547,"sc3_35-70",35,"sc3_35",70
"2200","7_28",0.833104724163573,"UMAP_KMEANS_35-70",28,"UMAP_KMEANS_35",70
"2201","7_28",0.744396430064129,"UMAP_KMEANS_40-70",31,"UMAP_KMEANS_40",70
"2202","7_28",0.912685811152673,"UMAP_KMEANS_45-70",39,"UMAP_KMEANS_45",70
"2203","7_28",0.812613791623795,"tSNE_KMEANS_35-70",27,"tSNE_KMEANS_35",70
"2204","7_28",0.934586724477308,"tSNE_KMEANS_40-70",28,"tSNE_KMEANS_40",70
"2205","7_28",0.90327522374732,"tSNE_KMEANS_45-70",32,"tSNE_KMEANS_45",70
"2206","7_28",0.998061322591547,"sc3_35-75",35,"sc3_35",75
"2207","7_28",0.843959747373838,"UMAP_KMEANS_35-75",27,"UMAP_KMEANS_35",75
"2208","7_28",0.758065753209902,"UMAP_KMEANS_40-75",29,"UMAP_KMEANS_40",75
"2209","7_28",0.928174352307387,"UMAP_KMEANS_45-75",37,"UMAP_KMEANS_45",75
"2210","7_28",0.812613791623795,"tSNE_KMEANS_35-75",27,"tSNE_KMEANS_35",75
"2211","7_28",0.934586724477308,"tSNE_KMEANS_40-75",28,"tSNE_KMEANS_40",75
"2212","7_28",0.90327522374732,"tSNE_KMEANS_45-75",32,"tSNE_KMEANS_45",75
"2213","7_28",0.998061322591547,"sc3_35-80",35,"sc3_35",80
"2214","7_28",0.843959747373838,"UMAP_KMEANS_35-80",27,"UMAP_KMEANS_35",80
"2215","7_28",0.758065753209902,"UMAP_KMEANS_40-80",29,"UMAP_KMEANS_40",80
"2216","7_28",0.928174352307387,"UMAP_KMEANS_45-80",37,"UMAP_KMEANS_45",80
"2217","7_28",0.82843520304674,"tSNE_KMEANS_35-80",24,"tSNE_KMEANS_35",80
"2218","7_28",0.934586724477308,"tSNE_KMEANS_40-80",28,"tSNE_KMEANS_40",80
"2219","7_28",0.90327522374732,"tSNE_KMEANS_45-80",32,"tSNE_KMEANS_45",80
"2220","7_28",0.998061322591547,"sc3_35-85",35,"sc3_35",85
"2221","7_28",0.854127380967983,"UMAP_KMEANS_35-85",26,"UMAP_KMEANS_35",85
"2222","7_28",0.769409709528667,"UMAP_KMEANS_40-85",27,"UMAP_KMEANS_40",85
"2223","7_28",0.944955507865795,"UMAP_KMEANS_45-85",35,"UMAP_KMEANS_45",85
"2224","7_28",0.82843520304674,"tSNE_KMEANS_35-85",24,"tSNE_KMEANS_35",85
"2225","7_28",0.934586724477308,"tSNE_KMEANS_40-85",28,"tSNE_KMEANS_40",85
"2226","7_28",0.90327522374732,"tSNE_KMEANS_45-85",32,"tSNE_KMEANS_45",85
"2227","7_28",0.998061322591547,"sc3_35-90",35,"sc3_35",90
"2228","7_28",0.860753102359312,"UMAP_KMEANS_35-90",25,"UMAP_KMEANS_35",90
"2229","7_28",0.777252966278639,"UMAP_KMEANS_40-90",25,"UMAP_KMEANS_40",90
"2230","7_28",0.951907385627405,"UMAP_KMEANS_45-90",34,"UMAP_KMEANS_45",90
"2231","7_28",0.82843520304674,"tSNE_KMEANS_35-90",24,"tSNE_KMEANS_35",90
"2232","7_28",0.934586724477308,"tSNE_KMEANS_40-90",28,"tSNE_KMEANS_40",90
"2233","7_28",0.90327522374732,"tSNE_KMEANS_45-90",32,"tSNE_KMEANS_45",90
"2234","7_28",0.998061322591547,"sc3_35-95",35,"sc3_35",95
"2235","7_28",0.860753102359312,"UMAP_KMEANS_35-95",25,"UMAP_KMEANS_35",95
"2236","7_28",0.777252966278639,"UMAP_KMEANS_40-95",25,"UMAP_KMEANS_40",95
"2237","7_28",0.962035438392,"UMAP_KMEANS_45-95",31,"UMAP_KMEANS_45",95
"2238","7_28",0.82843520304674,"tSNE_KMEANS_35-95",24,"tSNE_KMEANS_35",95
"2239","7_28",0.934586724477308,"tSNE_KMEANS_40-95",28,"tSNE_KMEANS_40",95
"2240","7_28",0.914085119740763,"tSNE_KMEANS_45-95",29,"tSNE_KMEANS_45",95
"2241","7_28",0.999378425615522,"sc3_35-100",31,"sc3_35",100
"2242","7_28",0.860753102359312,"UMAP_KMEANS_35-100",25,"UMAP_KMEANS_35",100
"2243","7_28",0.781112807535798,"UMAP_KMEANS_40-100",24,"UMAP_KMEANS_40",100
"2244","7_28",0.96918640651212,"UMAP_KMEANS_45-100",29,"UMAP_KMEANS_45",100
"2245","7_28",0.82843520304674,"tSNE_KMEANS_35-100",24,"tSNE_KMEANS_35",100
"2246","7_28",0.934586724477308,"tSNE_KMEANS_40-100",28,"tSNE_KMEANS_40",100
"2247","7_28",0.919385436764821,"tSNE_KMEANS_45-100",28,"tSNE_KMEANS_45",100
"2248","7_33",0.99382217035811,"sc3_40-00",40,"sc3_40",0
"2249","7_33",0.988355824526768,"sc3_45-00",45,"sc3_45",0
"2250","7_33",0.770537236197811,"UMAP_KMEANS_35-00",35,"UMAP_KMEANS_35",0
"2251","7_33",0.854850538127996,"UMAP_KMEANS_45-00",45,"UMAP_KMEANS_45",0
"2252","7_33",0.753605733475748,"tSNE_KMEANS_35-00",35,"tSNE_KMEANS_35",0
"2253","7_33",0.844032371265819,"tSNE_KMEANS_40-00",40,"tSNE_KMEANS_40",0
"2254","7_33",0.79735255761002,"tSNE_KMEANS_45-00",45,"tSNE_KMEANS_45",0
"2255","7_33",0.99382217035811,"sc3_40-05",40,"sc3_40",5
"2256","7_33",0.988355824526768,"sc3_45-05",45,"sc3_45",5
"2257","7_33",0.770537236197811,"UMAP_KMEANS_35-05",35,"UMAP_KMEANS_35",5
"2258","7_33",0.854850538127996,"UMAP_KMEANS_45-05",45,"UMAP_KMEANS_45",5
"2259","7_33",0.773890549422908,"tSNE_KMEANS_35-05",33,"tSNE_KMEANS_35",5
"2260","7_33",0.844032371265819,"tSNE_KMEANS_40-05",40,"tSNE_KMEANS_40",5
"2261","7_33",0.810275807351065,"tSNE_KMEANS_45-05",44,"tSNE_KMEANS_45",5
"2262","7_33",0.99382217035811,"sc3_40-10",40,"sc3_40",10
"2263","7_33",0.988355824526768,"sc3_45-10",45,"sc3_45",10
"2264","7_33",0.780369903814572,"UMAP_KMEANS_35-10",34,"UMAP_KMEANS_35",10
"2265","7_33",0.86518781308812,"UMAP_KMEANS_45-10",44,"UMAP_KMEANS_45",10
"2266","7_33",0.773890549422908,"tSNE_KMEANS_35-10",33,"tSNE_KMEANS_35",10
"2267","7_33",0.844032371265819,"tSNE_KMEANS_40-10",40,"tSNE_KMEANS_40",10
"2268","7_33",0.822201891414198,"tSNE_KMEANS_45-10",43,"tSNE_KMEANS_45",10
"2269","7_33",0.99382217035811,"sc3_40-15",40,"sc3_40",15
"2270","7_33",0.988355824526768,"sc3_45-15",45,"sc3_45",15
"2271","7_33",0.780369903814572,"UMAP_KMEANS_35-15",34,"UMAP_KMEANS_35",15
"2272","7_33",0.883960236184692,"UMAP_KMEANS_45-15",42,"UMAP_KMEANS_45",15
"2273","7_33",0.773890549422908,"tSNE_KMEANS_35-15",33,"tSNE_KMEANS_35",15
"2274","7_33",0.844032371265819,"tSNE_KMEANS_40-15",40,"tSNE_KMEANS_40",15
"2275","7_33",0.83117558069956,"tSNE_KMEANS_45-15",42,"tSNE_KMEANS_45",15
"2276","7_33",0.99382217035811,"sc3_40-20",40,"sc3_40",20
"2277","7_33",0.988355824526768,"sc3_45-20",45,"sc3_45",20
"2278","7_33",0.789182345054302,"UMAP_KMEANS_35-20",33,"UMAP_KMEANS_35",20
"2279","7_33",0.883960236184692,"UMAP_KMEANS_45-20",42,"UMAP_KMEANS_45",20
"2280","7_33",0.773890549422908,"tSNE_KMEANS_35-20",33,"tSNE_KMEANS_35",20
"2281","7_33",0.856248218720541,"tSNE_KMEANS_40-20",39,"tSNE_KMEANS_40",20
"2282","7_33",0.839591962081613,"tSNE_KMEANS_45-20",41,"tSNE_KMEANS_45",20
"2283","7_33",0.99382217035811,"sc3_40-25",40,"sc3_40",25
"2284","7_33",0.988355824526768,"sc3_45-25",45,"sc3_45",25
"2285","7_33",0.81066649705328,"UMAP_KMEANS_35-25",31,"UMAP_KMEANS_35",25
"2286","7_33",0.883960236184692,"UMAP_KMEANS_45-25",42,"UMAP_KMEANS_45",25
"2287","7_33",0.780849880826732,"tSNE_KMEANS_35-25",32,"tSNE_KMEANS_35",25
"2288","7_33",0.856248218720541,"tSNE_KMEANS_40-25",39,"tSNE_KMEANS_40",25
"2289","7_33",0.847342864676509,"tSNE_KMEANS_45-25",40,"tSNE_KMEANS_45",25
"2290","7_33",0.99382217035811,"sc3_40-30",40,"sc3_40",30
"2291","7_33",0.988355824526768,"sc3_45-30",45,"sc3_45",30
"2292","7_33",0.827805411297172,"UMAP_KMEANS_35-30",29,"UMAP_KMEANS_35",30
"2293","7_33",0.892974235049953,"UMAP_KMEANS_45-30",41,"UMAP_KMEANS_45",30
"2294","7_33",0.780849880826732,"tSNE_KMEANS_35-30",32,"tSNE_KMEANS_35",30
"2295","7_33",0.856248218720541,"tSNE_KMEANS_40-30",39,"tSNE_KMEANS_40",30
"2296","7_33",0.847342864676509,"tSNE_KMEANS_45-30",40,"tSNE_KMEANS_45",30
"2297","7_33",0.99382217035811,"sc3_40-35",40,"sc3_40",35
