Metric,method,Value,n_clus,clustering,level
ARI,param,0.7613997670442227,45,UMAP_KMEANS,NA
ARI,param,0.8079391258913002,50,UMAP_KMEANS,NA
ARI,param,0.6943514429750206,20,TSNE_KMEANS,NA
ARI,param,0.7601463168117158,25,TSNE_KMEANS,NA
ARI,param,0.8383867596009654,30,TSNE_KMEANS,NA
ARI,param,0.8333311703966364,35,TSNE_KMEANS,NA
ARI,param,0.755412707668559,40,TSNE_KMEANS,NA
ARI,param,0.8321950941659546,45,TSNE_KMEANS,NA
ARI,param,0.8288684175498849,50,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.003104720266238127,5,SC3,NA
NMI,TSNE_KMEANS,0.0035529747651349333,6,SC3,NA
NMI,TSNE_KMEANS,0.004175694329014303,7,SC3,NA
NMI,TSNE_KMEANS,0.004974608291569328,8,SC3,NA
NMI,TSNE_KMEANS,0.005609943976239036,9,SC3,NA
NMI,TSNE_KMEANS,0.006707893660865976,10,SC3,NA
NMI,TSNE_KMEANS,0.008654914419110486,11,SC3,NA
NMI,TSNE_KMEANS,0.008711063030746778,12,SC3,NA
NMI,TSNE_KMEANS,0.009548510132984923,13,SC3,NA
NMI,TSNE_KMEANS,0.010841768303343923,14,SC3,NA
NMI,TSNE_KMEANS,0.010879342054084851,15,SC3,NA
NMI,TSNE_KMEANS,0.012217424187277448,16,SC3,NA
NMI,TSNE_KMEANS,0.012682901376679552,17,SC3,NA
NMI,TSNE_KMEANS,0.013433584831980826,18,SC3,NA
NMI,TSNE_KMEANS,0.014518334421631918,19,SC3,NA
NMI,TSNE_KMEANS,0.01575474741917738,20,SC3,NA
NMI,TSNE_KMEANS,0.016441930031238755,21,SC3,NA
NMI,TSNE_KMEANS,0.01748149386482479,22,SC3,NA
NMI,TSNE_KMEANS,0.019071453869266577,23,SC3,NA
NMI,TSNE_KMEANS,0.019569966997241766,24,SC3,NA
NMI,TSNE_KMEANS,0.020192675436874537,25,SC3,NA
NMI,TSNE_KMEANS,0.021142423157057635,26,SC3,NA
NMI,TSNE_KMEANS,0.021743237950171877,27,SC3,NA
NMI,TSNE_KMEANS,0.022651648048407837,28,SC3,NA
NMI,TSNE_KMEANS,0.02318507983299717,29,SC3,NA
NMI,TSNE_KMEANS,0.023982271411194234,30,SC3,NA
NMI,TSNE_KMEANS,0.02445356594161635,31,SC3,NA
NMI,TSNE_KMEANS,0.024916707551320416,32,SC3,NA
NMI,TSNE_KMEANS,0.02573362621947935,33,SC3,NA
NMI,TSNE_KMEANS,0.026046945833520664,34,SC3,NA
NMI,TSNE_KMEANS,0.026870612226801226,35,SC3,NA
NMI,TSNE_KMEANS,0.027568110726795676,36,SC3,NA
NMI,TSNE_KMEANS,0.02814301054663302,37,SC3,NA
NMI,TSNE_KMEANS,0.02881197768987738,38,SC3,NA
NMI,TSNE_KMEANS,0.029396261013227874,39,SC3,NA
NMI,TSNE_KMEANS,0.030010830701021483,40,SC3,NA
NMI,TSNE_KMEANS,0.006321975672970835,5,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.006528947471809876,6,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.007679949105026826,7,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.008718514695064747,8,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.010507571447940796,9,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.011508632619150756,10,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.013128947772984241,11,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.013896840290253473,12,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.014882504814874544,13,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.015884767983464596,14,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.017069612701686727,15,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.018264228407405873,16,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.01893924275113334,17,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.019682460933200183,18,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.020415651845864406,19,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.022076623994074434,20,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.023018270418563875,21,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.024323531086460754,22,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.025569062096927157,23,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.026845568670752606,24,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.027461918840283882,25,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.028224281920366093,26,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.02861647999287426,27,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.028871229749212385,28,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.029363183841346674,29,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.029594551492869207,30,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.030172805579339275,31,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.030748731080700274,32,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.03169059771005853,33,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.031773706317210194,34,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.032585930662781065,35,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.03345169022737794,36,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.03387690095104948,37,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.03437903529884094,38,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.03494289949711095,39,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.03501414338586972,40,UMAP_KMEANS,NA
NMI,TSNE_KMEANS,0.005437158296865205,5,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.00699189591530606,6,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.008729488848988642,7,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.009314521755990854,8,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.010413441258009965,9,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.011489747554050952,10,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.012592718231487046,11,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.01376314554598151,12,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.015622008932537608,13,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.01704962764187321,14,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.018601548624033414,15,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.020048370333601278,16,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.020057085176302666,17,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.020387883568557107,18,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.021474667366900155,19,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.022765988587954346,20,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.024022477927530685,21,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.025204327977282188,22,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.026114248446070118,23,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.02793654347583192,24,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.029023937396161815,25,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.02958896988510054,26,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.030347379014539846,27,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03101895434389044,28,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03166809085299802,29,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03266563241833437,30,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03306704787555419,31,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03369632093914561,32,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.034184914035170016,33,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03541908517428473,34,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03571269162165319,35,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03642330729945646,36,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03598374534085474,37,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03652533239877993,38,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03655013719001649,39,TSNE_KMEANS,NA
NMI,TSNE_KMEANS,0.03655001656190551,40,TSNE_KMEANS,NA
NMI,param,0.9094215018989746,20,SC3,NA
NMI,param,0.9487021378062928,25,SC3,NA
NMI,param,1,30,SC3,NA
NMI,param,0.9979276011726549,35,SC3,NA
NMI,param,0.9929752742862745,40,SC3,NA
NMI,param,0.9878751558581735,45,SC3,NA
NMI,param,0.982768910826134,50,SC3,NA
NMI,param,0.9058587189586411,20,UMAP_KMEANS,NA
NMI,param,0.9193941878407276,25,UMAP_KMEANS,NA
NMI,param,0.9352628330076559,30,UMAP_KMEANS,NA
NMI,param,0.9108055611357804,35,UMAP_KMEANS,NA
NMI,param,0.9273048951016754,40,UMAP_KMEANS,NA
NMI,param,0.9271410365922338,45,UMAP_KMEANS,NA
NMI,param,0.9358169716219129,50,UMAP_KMEANS,NA
NMI,param,0.9209568197333345,20,TSNE_KMEANS,NA
NMI,param,0.9336959100654282,25,TSNE_KMEANS,NA
NMI,param,0.9582322922779495,30,TSNE_KMEANS,NA
NMI,param,0.9518981779761096,35,TSNE_KMEANS,NA
NMI,param,0.9257232950005413,40,TSNE_KMEANS,NA
NMI,param,0.9444316034916848,45,TSNE_KMEANS,NA
NMI,param,0.9386318976298591,50,TSNE_KMEANS,NA
