"","nCells","param","Value","Name","n_clus","clustering","level"
"207","100","45",0.287896901411051,"X45.1-25",45,"X45.1",25
"208","100","45",0.16444493524113,"sc3-30",45,"sc3",30
"209","100","45",0.319181744875295,"X45-30",44,"X45",30
"210","100","45",0.287896901411051,"X45.1-30",45,"X45.1",30
"211","100","45",0.16444493524113,"sc3-35",45,"sc3",35
"212","100","45",0.319181744875295,"X45-35",44,"X45",35
"213","100","45",0.287896901411051,"X45.1-35",45,"X45.1",35
"214","100","45",0.16444493524113,"sc3-40",45,"sc3",40
"215","100","45",0.319181744875295,"X45-40",44,"X45",40
"216","100","45",0.287896901411051,"X45.1-40",45,"X45.1",40
"217","100","45",0.16444493524113,"sc3-45",45,"sc3",45
"218","100","45",0.310745129173263,"X45-45",43,"X45",45
"219","100","45",0.287896901411051,"X45.1-45",45,"X45.1",45
"220","100","45",0.16444493524113,"sc3-50",45,"sc3",50
"221","100","45",0.310745129173263,"X45-50",43,"X45",50
"222","100","45",0.287896901411051,"X45.1-50",45,"X45.1",50
"223","100","45",0.16444493524113,"sc3-55",45,"sc3",55
"224","100","45",0.310745129173263,"X45-55",43,"X45",55
"225","100","45",0.287896901411051,"X45.1-55",45,"X45.1",55
"226","100","45",0.16444493524113,"sc3-60",45,"sc3",60
"227","100","45",0.335356759766535,"X45-60",42,"X45",60
"228","100","45",0.287896901411051,"X45.1-60",45,"X45.1",60
"229","100","45",0.16444493524113,"sc3-65",45,"sc3",65
"230","100","45",0.335356759766535,"X45-65",42,"X45",65
"231","100","45",0.287896901411051,"X45.1-65",45,"X45.1",65
"232","100","45",0.161785650568637,"sc3-70",43,"sc3",70
"233","100","45",0.335356759766535,"X45-70",42,"X45",70
"234","100","45",0.287896901411051,"X45.1-70",45,"X45.1",70
"235","100","45",0.161785650568637,"sc3-75",43,"sc3",75
"236","100","45",0.331073045922474,"X45-75",41,"X45",75
"237","100","45",0.280283682814047,"X45.1-75",44,"X45.1",75
"238","100","45",0.161785650568637,"sc3-80",43,"sc3",80
"239","100","45",0.331073045922474,"X45-80",41,"X45",80
"240","100","45",0.280283682814047,"X45.1-80",44,"X45.1",80
"241","100","45",0.161785650568637,"sc3-85",43,"sc3",85
"242","100","45",0.331073045922474,"X45-85",41,"X45",85
"243","100","45",0.280283682814047,"X45.1-85",44,"X45.1",85
"244","100","45",0.161785650568637,"sc3-90",43,"sc3",90
"245","100","45",0.331073045922474,"X45-90",41,"X45",90
"246","100","45",0.280283682814047,"X45.1-90",44,"X45.1",90
"247","100","45",0.15687151566138,"sc3-95",42,"sc3",95
"248","100","45",0.32007084239321,"X45-95",40,"X45",95
"249","100","45",0.280283682814047,"X45.1-95",44,"X45.1",95
"250","100","45",0.154488793228579,"sc3-100",41,"sc3",100
"251","100","45",0.32007084239321,"X45-100",40,"X45",100
"252","100","45",0.280283682814047,"X45.1-100",44,"X45.1",100
"253","100","50",0.141187639125311,"sc3-00",50,"sc3",0
"254","100","50",0.262717690192484,"X50-00",50,"X50",0
"255","100","50",0.273622390071791,"X50.1-00",50,"X50.1",0
"256","100","50",0.141187639125311,"sc3-05",50,"sc3",5
"257","100","50",0.262717690192484,"X50-05",50,"X50",5
"258","100","50",0.293433448535991,"X50.1-05",49,"X50.1",5
"259","100","50",0.141187639125311,"sc3-10",50,"sc3",10
"260","100","50",0.262717690192484,"X50-10",50,"X50",10
"261","100","50",0.293433448535991,"X50.1-10",49,"X50.1",10
"262","100","50",0.141187639125311,"sc3-15",50,"sc3",15
"263","100","50",0.262717690192484,"X50-15",50,"X50",15
"264","100","50",0.293433448535991,"X50.1-15",49,"X50.1",15
"265","100","50",0.141187639125311,"sc3-20",50,"sc3",20
"266","100","50",0.302725389695831,"X50-20",49,"X50",20
"267","100","50",0.293433448535991,"X50.1-20",49,"X50.1",20
