"","sim","param","Value","Name","n_clus","clustering","level"
"random_2-80...169","Dataset_1","2_0.2",0.614728809795473,"random_2-80",27,"random_2",80
"sc3-85...170","Dataset_1","2_0.2",0.9626424660085,"sc3-85",39,"sc3",85
"X40-85...171","Dataset_1","2_0.2",0.933600111203201,"X40-85",24,"X40",85
"X40.1-85...172","Dataset_1","2_0.2",0.909550688853555,"X40.1-85",18,"X40.1",85
"random_1-85...173","Dataset_1","2_0.2",0.637299855413763,"random_1-85",21,"random_1",85
"random_2-85...174","Dataset_1","2_0.2",0.625972411280581,"random_2-85",24,"random_2",85
"sc3-90...175","Dataset_1","2_0.2",0.966055809328933,"sc3-90",38,"sc3",90
"X40-90...176","Dataset_1","2_0.2",0.941101302040607,"X40-90",21,"X40",90
"X40.1-90...177","Dataset_1","2_0.2",0.909550688853555,"X40.1-90",18,"X40.1",90
"random_1-90...178","Dataset_1","2_0.2",0.637299855413763,"random_1-90",21,"random_1",90
"random_2-90...179","Dataset_1","2_0.2",0.637299855413763,"random_2-90",21,"random_2",90
"sc3-95...180","Dataset_1","2_0.2",0.976327314410629,"sc3-95",33,"sc3",95
"X40-95...181","Dataset_1","2_0.2",0.950761112521031,"X40-95",19,"X40",95
"X40.1-95...182","Dataset_1","2_0.2",0.909550688853555,"X40.1-95",18,"X40.1",95
"random_1-95...183","Dataset_1","2_0.2",0.637299855413763,"random_1-95",21,"random_1",95
"random_2-95...184","Dataset_1","2_0.2",0.637299855413763,"random_2-95",21,"random_2",95
"sc3-100...185","Dataset_1","2_0.2",0.98732750304366,"sc3-100",21,"sc3",100
"X40-100...186","Dataset_1","2_0.2",0.950761112521031,"X40-100",19,"X40",100
"X40.1-100...187","Dataset_1","2_0.2",0.909550688853555,"X40.1-100",18,"X40.1",100
"random_1-100...188","Dataset_1","2_0.2",0.643013746473509,"random_1-100",20,"random_1",100
"random_2-100...189","Dataset_1","2_0.2",0.643013746473509,"random_2-100",20,"random_2",100
"sc3-00...190","Dataset_1","3_0.2",0.959263380682416,"sc3-00",40,"sc3",0
"X40-00...191","Dataset_1","3_0.2",0.767658492742879,"X40-00",40,"X40",0
"X40.1-00...192","Dataset_1","3_0.2",0.683190221437966,"X40.1-00",40,"X40.1",0
"random_1-00...193","Dataset_1","3_0.2",0.499348758880039,"random_1-00",35,"random_1",0
"random_2-00...194","Dataset_1","3_0.2",0.435122311738041,"random_2-00",45,"random_2",0
"random_3-00...195","Dataset_1","3_0.2",0.601481735349489,"random_3-00",45,"random_3",0
"sc3-05...196","Dataset_1","3_0.2",0.959263380682416,"sc3-05",40,"sc3",5
"X40-05...197","Dataset_1","3_0.2",0.767658492742879,"X40-05",40,"X40",5
"X40.1-05...198","Dataset_1","3_0.2",0.701503815888235,"X40.1-05",39,"X40.1",5
"random_1-05...199","Dataset_1","3_0.2",0.524210408204273,"random_1-05",33,"random_1",5
"random_2-05...200","Dataset_1","3_0.2",0.450965540075924,"random_2-05",44,"random_2",5
"random_3-05...201","Dataset_1","3_0.2",0.601481735349489,"random_3-05",45,"random_3",5
"sc3-10...202","Dataset_1","3_0.2",0.959263380682416,"sc3-10",40,"sc3",10
"X40-10...203","Dataset_1","3_0.2",0.767658492742879,"X40-10",40,"X40",10
"X40.1-10...204","Dataset_1","3_0.2",0.716940487771988,"X40.1-10",38,"X40.1",10
"random_1-10...205","Dataset_1","3_0.2",0.53601872718949,"random_1-10",31,"random_1",10
"random_2-10...206","Dataset_1","3_0.2",0.463746581364662,"random_2-10",43,"random_2",10
"random_3-10...207","Dataset_1","3_0.2",0.601481735349489,"random_3-10",45,"random_3",10
"sc3-15...208","Dataset_1","3_0.2",0.959263380682416,"sc3-15",40,"sc3",15
"X40-15...209","Dataset_1","3_0.2",0.802843136789656,"X40-15",38,"X40",15
"X40.1-15...210","Dataset_1","3_0.2",0.716940487771988,"X40.1-15",38,"X40.1",15
"random_1-15...211","Dataset_1","3_0.2",0.53601872718949,"random_1-15",31,"random_1",15
"random_2-15...212","Dataset_1","3_0.2",0.487809325291099,"random_2-15",40,"random_2",15
"random_3-15...213","Dataset_1","3_0.2",0.601481735349489,"random_3-15",45,"random_3",15
"sc3-20...214","Dataset_1","3_0.2",0.959263380682416,"sc3-20",40,"sc3",20
"X40-20...215","Dataset_1","3_0.2",0.802843136789656,"X40-20",38,"X40",20
"X40.1-20...216","Dataset_1","3_0.2",0.732753787321787,"X40.1-20",37,"X40.1",20
"random_1-20...217","Dataset_1","3_0.2",0.53601872718949,"random_1-20",31,"random_1",20
"random_2-20...218","Dataset_1","3_0.2",0.506304660350841,"random_2-20",37,"random_2",20
"random_3-20...219","Dataset_1","3_0.2",0.601481735349489,"random_3-20",45,"random_3",20
"sc3-25...220","Dataset_1","3_0.2",0.959263380682416,"sc3-25",40,"sc3",25
"X40-25...221","Dataset_1","3_0.2",0.802843136789656,"X40-25",38,"X40",25
"X40.1-25...222","Dataset_1","3_0.2",0.770123521821252,"X40.1-25",33,"X40.1",25
"random_1-25...223","Dataset_1","3_0.2",0.53601872718949,"random_1-25",31,"random_1",25
"random_2-25...224","Dataset_1","3_0.2",0.508820451118412,"random_2-25",36,"random_2",25
"random_3-25...225","Dataset_1","3_0.2",0.601481735349489,"random_3-25",45,"random_3",25
"sc3-30...226","Dataset_1","3_0.2",0.959263380682416,"sc3-30",40,"sc3",30
