"","nCells","Value","Name","n_clus","clustering","level"
"147","500",0.91309124374414,"tSNE_KMEANS-30",36,"tSNE_KMEANS",30
"148","500",0.942259699502304,"sc3-35",38,"sc3",35
"149","500",0.918094895454528,"UMAP_KMEANS-35",36,"UMAP_KMEANS",35
"150","500",0.91309124374414,"tSNE_KMEANS-35",36,"tSNE_KMEANS",35
"151","500",0.948380203806283,"sc3-40",37,"sc3",40
"152","500",0.918094895454528,"UMAP_KMEANS-40",36,"UMAP_KMEANS",40
"153","500",0.91309124374414,"tSNE_KMEANS-40",36,"tSNE_KMEANS",40
"154","500",0.954835958723008,"sc3-45",36,"sc3",45
"155","500",0.918094895454528,"UMAP_KMEANS-45",36,"UMAP_KMEANS",45
"156","500",0.918882986949187,"tSNE_KMEANS-45",35,"tSNE_KMEANS",45
"157","500",0.954835958723008,"sc3-50",36,"sc3",50
"158","500",0.918094895454528,"UMAP_KMEANS-50",36,"UMAP_KMEANS",50
"159","500",0.929486692434222,"tSNE_KMEANS-50",34,"tSNE_KMEANS",50
"160","500",0.954835958723008,"sc3-55",36,"sc3",55
"161","500",0.928225977484952,"UMAP_KMEANS-55",35,"UMAP_KMEANS",55
"162","500",0.937112873309178,"tSNE_KMEANS-55",33,"tSNE_KMEANS",55
"163","500",0.954835958723008,"sc3-60",36,"sc3",60
"164","500",0.928225977484952,"UMAP_KMEANS-60",35,"UMAP_KMEANS",60
"165","500",0.94042561795189,"tSNE_KMEANS-60",32,"tSNE_KMEANS",60
"166","500",0.954835958723008,"sc3-65",36,"sc3",65
"167","500",0.928225977484952,"UMAP_KMEANS-65",35,"UMAP_KMEANS",65
"168","500",0.951156761562482,"tSNE_KMEANS-65",30,"tSNE_KMEANS",65
"169","500",0.954835958723008,"sc3-70",36,"sc3",70
"170","500",0.936863230365912,"UMAP_KMEANS-70",33,"UMAP_KMEANS",70
"171","500",0.951156761562482,"tSNE_KMEANS-70",30,"tSNE_KMEANS",70
"172","500",0.960026809940234,"sc3-75",35,"sc3",75
"173","500",0.942113830477853,"UMAP_KMEANS-75",32,"UMAP_KMEANS",75
"174","500",0.951156761562482,"tSNE_KMEANS-75",30,"tSNE_KMEANS",75
"175","500",0.96503830417123,"sc3-80",34,"sc3",80
"176","500",0.942113830477853,"UMAP_KMEANS-80",32,"UMAP_KMEANS",80
"177","500",0.951156761562482,"tSNE_KMEANS-80",30,"tSNE_KMEANS",80
"178","500",0.96503830417123,"sc3-85",34,"sc3",85
"179","500",0.950414353552398,"UMAP_KMEANS-85",30,"UMAP_KMEANS",85
"180","500",0.951156761562482,"tSNE_KMEANS-85",30,"tSNE_KMEANS",85
"181","500",0.967919071945327,"sc3-90",33,"sc3",90
"182","500",0.95436787722346,"UMAP_KMEANS-90",28,"UMAP_KMEANS",90
"183","500",0.951156761562482,"tSNE_KMEANS-90",30,"tSNE_KMEANS",90
"184","500",0.967919071945327,"sc3-95",33,"sc3",95
"185","500",0.95436787722346,"UMAP_KMEANS-95",28,"UMAP_KMEANS",95
"186","500",0.955803874559464,"tSNE_KMEANS-95",28,"tSNE_KMEANS",95
"187","500",0.975442334715604,"sc3-100",30,"sc3",100
"188","500",0.95436787722346,"UMAP_KMEANS-100",28,"UMAP_KMEANS",100
"189","500",0.955803874559464,"tSNE_KMEANS-100",28,"tSNE_KMEANS",100
"190","1000",0.976637908181069,"sc3-00",40,"sc3",0
"191","1000",0.832637358557629,"UMAP_KMEANS-00",40,"UMAP_KMEANS",0
"192","1000",0.799162754793525,"tSNE_KMEANS-00",40,"tSNE_KMEANS",0
"193","1000",0.976637908181069,"sc3-05",40,"sc3",5
"194","1000",0.832637358557629,"UMAP_KMEANS-05",40,"UMAP_KMEANS",5
"195","1000",0.825894893557573,"tSNE_KMEANS-05",38,"tSNE_KMEANS",5
"196","1000",0.976637908181069,"sc3-10",40,"sc3",10
"197","1000",0.832637358557629,"UMAP_KMEANS-10",40,"UMAP_KMEANS",10
"198","1000",0.837824197909113,"tSNE_KMEANS-10",37,"tSNE_KMEANS",10
"199","1000",0.976637908181069,"sc3-15",40,"sc3",15
"200","1000",0.832637358557629,"UMAP_KMEANS-15",40,"UMAP_KMEANS",15
"201","1000",0.848472271148618,"tSNE_KMEANS-15",36,"tSNE_KMEANS",15
"202","1000",0.976637908181069,"sc3-20",40,"sc3",20
"203","1000",0.832637358557629,"UMAP_KMEANS-20",40,"UMAP_KMEANS",20
"204","1000",0.858418916078545,"tSNE_KMEANS-20",35,"tSNE_KMEANS",20
"205","1000",0.976637908181069,"sc3-25",40,"sc3",25
"206","1000",0.841405814723329,"UMAP_KMEANS-25",39,"UMAP_KMEANS",25
"207","1000",0.858418916078545,"tSNE_KMEANS-25",35,"tSNE_KMEANS",25
"208","1000",0.976637908181069,"sc3-30",40,"sc3",30
"209","1000",0.841405814723329,"UMAP_KMEANS-30",39,"UMAP_KMEANS",30
"210","1000",0.874473107440199,"tSNE_KMEANS-30",33,"tSNE_KMEANS",30
"211","1000",0.976637908181069,"sc3-35",40,"sc3",35
"212","1000",0.841405814723329,"UMAP_KMEANS-35",39,"UMAP_KMEANS",35
"213","1000",0.881509589651268,"tSNE_KMEANS-35",32,"tSNE_KMEANS",35
"214","1000",0.976637908181069,"sc3-40",40,"sc3",40
"215","1000",0.849111822943442,"UMAP_KMEANS-40",38,"UMAP_KMEANS",40
"216","1000",0.881509589651268,"tSNE_KMEANS-40",32,"tSNE_KMEANS",40
"217","1000",0.976637908181069,"sc3-45",40,"sc3",45
"218","1000",0.862367323757904,"UMAP_KMEANS-45",36,"UMAP_KMEANS",45
"219","1000",0.881509589651268,"tSNE_KMEANS-45",32,"tSNE_KMEANS",45
"220","1000",0.976637908181069,"sc3-50",40,"sc3",50
"221","1000",0.86846648331787,"UMAP_KMEANS-50",35,"UMAP_KMEANS",50
"222","1000",0.881509589651268,"tSNE_KMEANS-50",32,"tSNE_KMEANS",50
"223","1000",0.976637908181069,"sc3-55",40,"sc3",55
"224","1000",0.86846648331787,"UMAP_KMEANS-55",35,"UMAP_KMEANS",55
"225","1000",0.895337031993753,"tSNE_KMEANS-55",30,"tSNE_KMEANS",55
"226","1000",0.976637908181069,"sc3-60",40,"sc3",60
"227","1000",0.874103725696539,"UMAP_KMEANS-60",34,"UMAP_KMEANS",60
"228","1000",0.895337031993753,"tSNE_KMEANS-60",30,"tSNE_KMEANS",60
"229","1000",0.976637908181069,"sc3-65",40,"sc3",65
"230","1000",0.880283594174947,"UMAP_KMEANS-65",33,"UMAP_KMEANS",65
"231","1000",0.901165102352866,"tSNE_KMEANS-65",29,"tSNE_KMEANS",65
"232","1000",0.976637908181069,"sc3-70",40,"sc3",70
"233","1000",0.880283594174947,"UMAP_KMEANS-70",33,"UMAP_KMEANS",70
"234","1000",0.906744210609382,"tSNE_KMEANS-70",28,"tSNE_KMEANS",70
"235","1000",0.976637908181069,"sc3-75",40,"sc3",75
"236","1000",0.885221042934104,"UMAP_KMEANS-75",32,"UMAP_KMEANS",75
"237","1000",0.91252314012374,"tSNE_KMEANS-75",27,"tSNE_KMEANS",75
"238","1000",0.976637908181069,"sc3-80",40,"sc3",80
"239","1000",0.8955541217147,"UMAP_KMEANS-80",30,"UMAP_KMEANS",80
"240","1000",0.91252314012374,"tSNE_KMEANS-80",27,"tSNE_KMEANS",80
"241","1000",0.976637908181069,"sc3-85",40,"sc3",85
"242","1000",0.901514904041334,"UMAP_KMEANS-85",29,"UMAP_KMEANS",85
"243","1000",0.91252314012374,"tSNE_KMEANS-85",27,"tSNE_KMEANS",85
"244","1000",0.980009350225861,"sc3-90",39,"sc3",90
"245","1000",0.907320805463304,"UMAP_KMEANS-90",27,"UMAP_KMEANS",90
"246","1000",0.91252314012374,"tSNE_KMEANS-90",27,"tSNE_KMEANS",90
"247","1000",0.986299533320981,"sc3-95",36,"sc3",95
"248","1000",0.907320805463304,"UMAP_KMEANS-95",27,"UMAP_KMEANS",95
