"","param","Value","Name","n_clus","clustering","level"
"163","40",0.99382217035811,"sc3-60",40,"sc3",60
"164","40",0.748518921269023,"UMAP_KMEANS-60",31,"UMAP_KMEANS",60
"165","40",0.911241303726002,"tSNE_KMEANS-60",32,"tSNE_KMEANS",60
"166","40",0.99382217035811,"sc3-65",40,"sc3",65
"167","40",0.754082871353713,"UMAP_KMEANS-65",30,"UMAP_KMEANS",65
"168","40",0.911241303726002,"tSNE_KMEANS-65",32,"tSNE_KMEANS",65
"169","40",0.99382217035811,"sc3-70",40,"sc3",70
"170","40",0.754082871353713,"UMAP_KMEANS-70",30,"UMAP_KMEANS",70
"171","40",0.922225747237526,"tSNE_KMEANS-70",30,"tSNE_KMEANS",70
"172","40",0.99382217035811,"sc3-75",40,"sc3",75
"173","40",0.754082871353713,"UMAP_KMEANS-75",30,"UMAP_KMEANS",75
"174","40",0.927095851727342,"tSNE_KMEANS-75",29,"tSNE_KMEANS",75
"175","40",0.99382217035811,"sc3-80",40,"sc3",80
"176","40",0.758699635153947,"UMAP_KMEANS-80",29,"UMAP_KMEANS",80
"177","40",0.934586724477308,"tSNE_KMEANS-80",28,"tSNE_KMEANS",80
"178","40",0.99382217035811,"sc3-85",40,"sc3",85
"179","40",0.765972006917921,"UMAP_KMEANS-85",28,"UMAP_KMEANS",85
"180","40",0.934586724477308,"tSNE_KMEANS-85",28,"tSNE_KMEANS",85
"181","40",0.99382217035811,"sc3-90",40,"sc3",90
"182","40",0.773292064393447,"UMAP_KMEANS-90",26,"UMAP_KMEANS",90
"183","40",0.934586724477308,"tSNE_KMEANS-90",28,"tSNE_KMEANS",90
"184","40",0.99382217035811,"sc3-95",40,"sc3",95
"185","40",0.781112807535798,"UMAP_KMEANS-95",24,"UMAP_KMEANS",95
"186","40",0.934586724477308,"tSNE_KMEANS-95",28,"tSNE_KMEANS",95
"187","40",0.997591591630153,"sc3-100",31,"sc3",100
"188","40",0.781112807535798,"UMAP_KMEANS-100",24,"UMAP_KMEANS",100
"189","40",0.934586724477308,"tSNE_KMEANS-100",28,"tSNE_KMEANS",100
"190","45",0.988355824526768,"sc3-00",45,"sc3",0
"191","45",0.854850538127996,"UMAP_KMEANS-00",45,"UMAP_KMEANS",0
"192","45",0.79735255761002,"tSNE_KMEANS-00",45,"tSNE_KMEANS",0
"193","45",0.988355824526768,"sc3-05",45,"sc3",5
"194","45",0.854850538127996,"UMAP_KMEANS-05",45,"UMAP_KMEANS",5
"195","45",0.822201891414198,"tSNE_KMEANS-05",43,"tSNE_KMEANS",5
"196","45",0.988355824526768,"sc3-10",45,"sc3",10
"197","45",0.866668219896325,"UMAP_KMEANS-10",44,"UMAP_KMEANS",10
"198","45",0.822201891414198,"tSNE_KMEANS-10",43,"tSNE_KMEANS",10
"199","45",0.988355824526768,"sc3-15",45,"sc3",15
"200","45",0.877782241114859,"UMAP_KMEANS-15",43,"UMAP_KMEANS",15
"201","45",0.832543718466553,"tSNE_KMEANS-15",42,"tSNE_KMEANS",15
"202","45",0.988355824526768,"sc3-20",45,"sc3",20
"203","45",0.8877350644867,"UMAP_KMEANS-20",42,"UMAP_KMEANS",20
"204","45",0.832543718466553,"tSNE_KMEANS-20",42,"tSNE_KMEANS",20
"205","45",0.988355824526768,"sc3-25",45,"sc3",25
"206","45",0.905616921460953,"UMAP_KMEANS-25",40,"UMAP_KMEANS",25
"207","45",0.832543718466553,"tSNE_KMEANS-25",42,"tSNE_KMEANS",25
"208","45",0.988355824526768,"sc3-30",45,"sc3",30
"209","45",0.91450390019314,"UMAP_KMEANS-30",39,"UMAP_KMEANS",30
"210","45",0.832543718466553,"tSNE_KMEANS-30",42,"tSNE_KMEANS",30
"211","45",0.988355824526768,"sc3-35",45,"sc3",35
"212","45",0.91450390019314,"UMAP_KMEANS-35",39,"UMAP_KMEANS",35
"213","45",0.849649009870778,"tSNE_KMEANS-35",40,"tSNE_KMEANS",35
"214","45",0.988355824526768,"sc3-40",45,"sc3",40
"215","45",0.921835509305615,"UMAP_KMEANS-40",38,"UMAP_KMEANS",40
"216","45",0.85727425446139,"tSNE_KMEANS-40",39,"tSNE_KMEANS",40
"217","45",0.988355824526768,"sc3-45",45,"sc3",45
"218","45",0.921835509305615,"UMAP_KMEANS-45",38,"UMAP_KMEANS",45
"219","45",0.866162723361056,"tSNE_KMEANS-45",38,"tSNE_KMEANS",45
"220","45",0.988355824526768,"sc3-50",45,"sc3",50
"221","45",0.93708201219276,"UMAP_KMEANS-50",36,"UMAP_KMEANS",50
"222","45",0.866162723361056,"tSNE_KMEANS-50",38,"tSNE_KMEANS",50
"223","45",0.988355824526768,"sc3-55",45,"sc3",55
"224","45",0.951907385627405,"UMAP_KMEANS-55",34,"UMAP_KMEANS",55
"225","45",0.866162723361056,"tSNE_KMEANS-55",38,"tSNE_KMEANS",55
"226","45",0.988355824526768,"sc3-60",45,"sc3",60
"227","45",0.951907385627405,"UMAP_KMEANS-60",34,"UMAP_KMEANS",60
"228","45",0.871378094363664,"tSNE_KMEANS-60",37,"tSNE_KMEANS",60
"229","45",0.988355824526768,"sc3-65",45,"sc3",65
"230","45",0.951907385627405,"UMAP_KMEANS-65",34,"UMAP_KMEANS",65
"231","45",0.884841703271499,"tSNE_KMEANS-65",35,"tSNE_KMEANS",65
"232","45",0.988355824526768,"sc3-70",45,"sc3",70
"233","45",0.951907385627405,"UMAP_KMEANS-70",34,"UMAP_KMEANS",70
"234","45",0.895915890148146,"tSNE_KMEANS-70",33,"tSNE_KMEANS",70
"235","45",0.988355824526768,"sc3-75",45,"sc3",75
"236","45",0.956385856959217,"UMAP_KMEANS-75",33,"UMAP_KMEANS",75
"237","45",0.90327522374732,"tSNE_KMEANS-75",32,"tSNE_KMEANS",75
"238","45",0.988355824526768,"sc3-80",45,"sc3",80
"239","45",0.956385856959217,"UMAP_KMEANS-80",33,"UMAP_KMEANS",80
"240","45",0.909053481836809,"tSNE_KMEANS-80",30,"tSNE_KMEANS",80
"241","45",0.988355824526768,"sc3-85",45,"sc3",85
"242","45",0.956385856959217,"UMAP_KMEANS-85",33,"UMAP_KMEANS",85
"243","45",0.919385436764821,"tSNE_KMEANS-85",28,"tSNE_KMEANS",85
"244","45",0.988355824526768,"sc3-90",45,"sc3",90
"245","45",0.966433400181915,"UMAP_KMEANS-90",30,"UMAP_KMEANS",90
"246","45",0.919385436764821,"tSNE_KMEANS-90",28,"tSNE_KMEANS",90
