cells,SC3-00,UMAP_KMEANS-00,TSNE_KMEANS-00,SC3-05,UMAP_KMEANS-05,TSNE_KMEANS-05,SC3-10,UMAP_KMEANS-10,TSNE_KMEANS-10,SC3-15,UMAP_KMEANS-15,TSNE_KMEANS-15,SC3-20,UMAP_KMEANS-20,TSNE_KMEANS-20,SC3-25,UMAP_KMEANS-25,TSNE_KMEANS-25,SC3-30,UMAP_KMEANS-30,TSNE_KMEANS-30,SC3-35,UMAP_KMEANS-35,TSNE_KMEANS-35,SC3-40,UMAP_KMEANS-40,TSNE_KMEANS-40,SC3-45,UMAP_KMEANS-45,TSNE_KMEANS-45,SC3-50,UMAP_KMEANS-50,TSNE_KMEANS-50,SC3-55,UMAP_KMEANS-55,TSNE_KMEANS-55,SC3-60,UMAP_KMEANS-60,TSNE_KMEANS-60,SC3-65,UMAP_KMEANS-65,TSNE_KMEANS-65,SC3-70,UMAP_KMEANS-70,TSNE_KMEANS-70,SC3-75,UMAP_KMEANS-75,TSNE_KMEANS-75,SC3-80,UMAP_KMEANS-80,TSNE_KMEANS-80,SC3-85,UMAP_KMEANS-85,TSNE_KMEANS-85,SC3-90,UMAP_KMEANS-90,TSNE_KMEANS-90,SC3-95,UMAP_KMEANS-95,TSNE_KMEANS-95,SC3-100,UMAP_KMEANS-100,TSNE_KMEANS-100
Cell105,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31
Cell1050,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38,40,12,38
Cell1051,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30,1,24,30
Cell1052,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29,31,16,29
Cell1053,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15
Cell1054,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5
Cell1055,19,15,14,19,15,14,19,15,14,19,15,14,19,15,14,19,15,14,19,15,14,19,15,14,19,15,14,19,15,14,19,15,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14,19,14,14
Cell1056,7,11,27,7,11,27,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15
Cell1057,3,25,40,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2
Cell1058,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,26,27,7
Cell1059,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,21,10,25,3,10,25,3,10,25,3,10,25,3,10,25,3,10
Cell106,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31,22,33,31
Cell1060,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15
Cell1061,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,32,3,10,25,3,10,25,3,10,25,3,10,25,3,10,25,3,10
Cell1062,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,27,27,7,26,27,7
Cell1063,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24,20,13,24
Cell1064,16,2,1,16,2,1,16,2,1,16,2,1,16,2,1,16,2,1,16,2,1,16,2,1,16,2,1,16,2,1,16,2,1,16,2,1,16,2,1,16,2,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,16,1,1,15,1,1
Cell1065,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,17,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5,29,20,5
Cell1066,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39,9,31,39
Cell1067,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20,6,19,20
Cell1068,7,11,27,7,11,27,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15,7,11,15
Cell1069,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9,12,27,9
Cell107,38,25,40,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2,38,25,2
