"","0.3,30","0.3,50","0.3,100","0.4,30","0.4,50","0.4,100","0.5,30","0.5,50","0.5,100","0.6,30","0.6,50","0.6,100","0.7,30","0.7,50","0.7,100","0.8,30","0.8,50","0.8,100","0.9,30","0.9,50","0.9,100","1,30","1,50","1,100","1.1,30","1.1,50","1.1,100","1.2,30","1.2,50","1.2,100","1.3,30","1.3,50","1.3,100","1.4,30","1.4,50","1.4,100","1.5,30","1.5,50","1.5,100","1.6,30","1.6,50","1.6,100","1.7,30","1.7,50","1.7,100","1.8,30","1.8,50","1.8,100","1.9,30","1.9,50","1.9,100","2,30","2,50","2,100","2.1,30","2.1,50","2.1,100","2.2,30","2.2,50","2.2,100","2.3,30","2.3,50","2.3,100","2.4,30","2.4,50","2.4,100","2.5,30","2.5,50","2.5,100","cells"
"Cell30",8,6,7,8,6,7,9,6,8,9,6,8,9,6,8,9,6,7,9,6,6,9,6,6,9,6,6,9,6,6,8,6,6,7,6,6,7,6,6,8,6,6,8,6,6,7,6,6,7,6,6,7,6,6,7,6,6,7,6,6,7,6,6,7,6,6,7,6,6,"Cell30"
"Cell31",28,27,25,28,28,25,30,28,27,30,28,26,30,28,27,30,28,28,30,28,29,30,28,29,30,29,30,30,29,30,30,29,30,29,29,30,29,29,30,30,29,30,30,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,"Cell31"
"Cell32",1,42,1,38,43,1,39,43,1,39,44,40,39,44,41,40,43,42,40,43,44,40,43,43,40,44,44,40,44,44,41,44,44,41,44,43,42,44,43,42,44,43,42,44,43,43,44,43,43,44,44,43,44,44,44,44,44,44,44,44,44,44,44,44,45,44,44,45,43,"Cell32"
"Cell33",1,1,1,25,1,1,26,1,1,26,1,1,26,1,1,26,1,1,25,1,22,26,1,24,26,22,22,26,22,22,26,22,22,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,22,23,26,20,23,26,20,23,"Cell33"
"Cell34",33,35,31,34,36,32,35,37,33,35,37,33,35,37,34,36,36,35,36,36,35,36,36,36,36,37,37,36,37,37,36,37,37,36,37,38,37,37,38,37,37,37,37,37,37,38,37,37,38,37,37,38,37,37,38,37,37,38,37,37,38,37,37,38,38,37,38,38,37,"Cell34"
"Cell35",16,12,15,16,12,16,17,12,17,17,12,17,17,12,17,17,12,17,17,12,16,17,12,16,17,12,16,17,12,16,17,12,16,18,12,16,18,12,16,17,12,16,17,12,16,16,12,16,16,12,16,16,12,16,16,12,16,16,12,16,16,12,16,17,12,16,17,12,16,"Cell35"
"Cell36",25,28,28,26,29,28,27,29,28,27,29,28,27,29,30,27,29,30,27,29,31,27,29,31,27,30,31,27,30,31,27,30,31,28,30,31,28,30,31,27,30,31,27,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,28,30,31,"Cell36"
"Cell37",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,1,1,44,1,"Cell37"
"Cell38",28,27,25,28,28,25,30,28,27,30,28,26,30,28,27,30,28,28,30,28,29,30,28,29,30,29,30,30,29,30,30,29,30,29,29,30,29,29,30,30,29,30,30,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,31,29,30,"Cell38"
"Cell39",1,19,1,1,19,1,2,19,1,2,19,1,2,19,20,2,19,19,2,19,18,2,19,18,2,19,18,2,19,19,2,19,19,2,19,19,2,19,19,2,19,18,2,19,18,17,19,19,17,19,19,17,19,19,17,16,19,17,16,19,17,16,19,16,19,19,16,19,19,"Cell39"
