"dataset" "nb_garb" "ARI" "x"
"91" "segerstolpe" "3" 0.582954540135467 0.105263157894737
"92" "segerstolpe" "3" 0.610079426237865 0.12280701754386
"93" "segerstolpe" "3" 0.610079426237865 0.140350877192982
"94" "segerstolpe" "3" 0.610008438010765 0.157894736842105
"95" "segerstolpe" "3" 0.623880929560011 0.175438596491228
"96" "segerstolpe" "3" 0.632815173325522 0.192982456140351
"97" "segerstolpe" "3" 0.632815173325522 0.210526315789474
"98" "segerstolpe" "3" 0.632815173325522 0.228070175438596
"99" "segerstolpe" "3" 0.632815173325522 0.245614035087719
"100" "segerstolpe" "3" 0.632815173325522 0.263157894736842
"101" "segerstolpe" "3" 0.632815173325522 0.280701754385965
"102" "segerstolpe" "3" 0.632815173325522 0.298245614035088
"103" "segerstolpe" "3" 0.632815173325522 0.315789473684211
